Name,Exchange,SuperSector,Country
01 Communique Laboratory Inc.(OONEF),OOTC,Software,United States
10X Capital Venture Acquisition Corp. II Cl A(VCXA),XNAS,Shell companies,United States
10X Capital Venture Acquisition Corp. II Un(VCXAU),XNAS,Shell companies,United States
10X Capital Venture Acquisition Corp. II Wt(VCXAW),XNAS,,United States
10X Capital Venture Acquisition Corp. III(VCXB.UT),XNYS,Shell companies,United States
10X Capital Venture Acquisition Corp. III Cl A(VCXB),XNYS,Shell companies,United States
10X Capital Venture Acquisition Corp. III Wt(VCXB.WT),XNYS,,United States
10x Genomics Inc.(TXG),XNAS,Biotechnology,United States
111 Inc. ADR(YI),XNAS,Drug Retail,United States
12 Retech Corp.(RETC),OOTC,Software,United States
1606 Corp.(CBDW),OOTC,Pharmaceuticals,United States
17 Education & Technology Group Inc. ADR(YQ),XNAS,Software,United States
180 Degree Capital Corp.(TURN),XNAS,Closed-End Funds,United States
180 Life Sciences Corp.(ATNF),XNAS,Biotechnology,United States
180 Life Sciences Corp. Wt(ATNFW),XNAS,,United States
1-800-FLOWERS.COM Inc. Cl A(FLWS),XNAS,Specialty Retail,United States
1812 Brewing Co. Inc.(KEGS),OOTC,Investment Advisors,United States
1847 Holdings LLC(EFSH),XASE,Investment Advisors,United States
1867 Western Financial Corp.(WFCL),OOTC,Banking,United States
1895 Bancorp of Wisconsin Inc.(BCOW),XNAS,Banking,United States
1911 Gold Corp.(AUMBF),OOTC,Gold,United States
1933 Industries Inc.(TGIFF),OOTC,Farming,United States
1CM Inc.(MILFF),OOTC,Pharmaceuticals,United States
1st Capital Bancorp(FISB),OOTC,Banking,United States
1st Colonial Bancorp Inc.(FCOB),OOTC,Banking,United States
1st NRG Corp.(FNRC),OOTC,Upstream Oil & Gas,United States
1st Source Corp.(SRCE),XNAS,Banking,United States
1stdibs.com Inc.(DIBS),XNAS,Mixed Retailing,United States
22nd Century Group Inc.(XXII),XNAS,Biotechnology,United States
23andMe Holding Co.(ME),XNAS,Biotechnology,United States
26 Capital Acquisition Corp.(ADERU),XNAS,Shell companies,United States
26 Capital Acquisition Corp. Cl A(ADER),XNAS,Shell companies,United States
26 Capital Acquisition Corp. Wt(ADERW),XNAS,,United States
2seventy bio Inc.(TSVT),XNAS,Biotechnology,United States
2U Inc.(TWOU),XNAS,Software,United States
36Kr Holdings Inc. ADR(KRKR),XNAS,Publishing,United States
374Water Inc.(SCWO),XNAS,Industrial Electronics,United States
3D Systems Corp.(DDD),XNYS,Computers/Consumer Electronics,United States
3DX Industries Inc.(DDDX),OOTC,Computers/Consumer Electronics,United States
3i Group PLC(TGOPF),OOTC,Investment Advisors,United States
3i Group PLC ADR(TGOPY),OOTC,Investment Advisors,United States
3M Co.(MMM),XNYS,Diversified Holding Companies,United States
49 North Resources Inc.(FNINF),OOTC,Closed-End Funds,United States
4Cable TV International Inc.(CATV),OOTC,Networking,United States
4D Molecular Therapeutics Inc.(FDMT),XNAS,Biotechnology,United States
4D pharma PLC Wt(LBPWQ),OOTC,,United States
4Front Ventures Corp.(FFNTF),OOTC,Farming,United States
4imprint Group PLC(FRRFF),OOTC,Advertising/Marketing/Public Relations,United States
51Talk Online Education Group ADR(COE),XASE,Consumer Services,United States
5E Advanced Materials Inc.(FEAM),XNAS,General Mining,United States
5N Plus Inc.(FPLSF),OOTC,Semiconductors,United States
7GC & Co. Holdings Inc. Cl A(VII),XNAS,Shell companies,United States
7GC & Co. Holdings Inc. Wt(VIIAW),XNAS,,United States
8000 Inc.(EIGH),OOTC,Recreational Services,United States
808 Renewable Energy Corp.(RNWR),OOTC,Multiutilities,United States
88 Energy Ltd.(EEENF),OOTC,Upstream Oil & Gas,United States
888 Holdings PLC(EIHDF),OOTC,Gambling Industries,United States
89bio Inc.(ETNB),XNAS,Biotechnology,United States
8X8 Inc.(EGHT),XNAS,Wired Telecommunications Services,United States
9 Meters Biopharma Inc.(NMTR),XNAS,Pharmaceuticals,United States
908 Devices Inc.(MASS),XNAS,Precision Products,United States
92 Energy Ltd.(NTELF),OOTC,Non-Ferrous Metals,United States
9F Inc. ADR(JFU),XNAS,Consumer Finance,United States
A SPAC I Acquisition Corp. Cl A(ASCA),XNAS,Shell companies,United States
A SPAC I Acquisition Corp. Rt(ASCAR),XNAS,Shell companies,United States
A SPAC I Acquisition Corp. Wt(ASCAW),XNAS,,United States
A SPAC II Acquisition Corp.(ASCB),XNAS,Shell companies,United States
A SPAC II Acquisition Corp. Rt(ASCBR),XNAS,Shell companies,United States
A SPAC II Acquisition Corp. Wt(ASCBW),XNAS,,United States
A.G.F. Management Ltd. Cl B NV(AGFMF),OOTC,Investment Advisors,United States
A.I.S. Resources Ltd.(AISSF),OOTC,General Mining,United States
a.k.a. Brands Holding Corp.(AKA),XNYS,Clothing Retail,United States
A.O. Smith Corp.(AOS),XNYS,Building Materials/Products,United States
A.P. Moeller-Maersk A/S ADR(AMKBY),OOTC,Water Transport/Shipping,United States
A.P. Moeller-Maersk A/S Series A(AMKAF),OOTC,Water Transport/Shipping,United States
A.P. Moeller-Maersk A/S Series B(AMKBF),OOTC,Water Transport/Shipping,United States
A-1 Group Inc.(AWON),OOTC,Tobacco,United States
A10 Networks Inc.(ATEN),XNYS,Networking,United States
a2 Milk Co. Ltd.(ACOPF),OOTC,Food Products,United States
a2 Milk Co. Ltd. ADR(ACOPY),OOTC,Food Products,United States
A2Z Smart Technologies Corp.(AZ),XNAS,Defense Equipment/Products,United States
AAC Clyde Space AB(ACCMF),OOTC,Aerospace Products/Parts,United States
AAC Technologies Holdings Inc.(AACAF),OOTC,Industrial Electronics,United States
AAC Technologies Holdings Inc. ADR(AACAY),OOTC,Industrial Electronics,United States
Aadi Bioscience Inc.(AADI),XNAS,Biotechnology,United States
Aalberts Industries N.V.(AALBF),OOTC,Industrial Products,United States
AAON Inc.(AAON),XNAS,Building Materials/Products,United States
AAP Inc.(AAPJ),OOTC,Food Products,United States
AAR Corp.(AIR),XNYS,Aerospace Products/Parts,United States
Aardvark Ventures Inc.(ROCAF),OOTC,General Mining,United States
Aaron's Co. Inc.(AAN),XNYS,General Services,United States
AB International Group Corp.(ABQQ),OOTC,Specialty Retail,United States
AB&T Financial Corp.(ABTO),OOTC,Banking,United States
Abacus Mining & Exploration Corp.(ABCFF),OOTC,Non-Ferrous Metals,United States
Abattis Bioceuticals Corp.(ATTBF),OOTC,Biotechnology,United States
Abaxx Technologies Inc.(ABXXD),OOTC,Computer Services,United States
ABB Ltd.(ABLZF),OOTC,Precision Products,United States
ABB Ltd. ADR(ABBNY),OOTC,Precision Products,United States
Abbott Laboratories(ABT),XNYS,Pharmaceuticals,United States
AbbVie Inc.(ABBV),XNYS,Biotechnology,United States
Abcam PLC(ABCZF),OOTC,Biotechnology,United States
Abcam PLC ADR(ABCM),XNAS,Biotechnology,United States
AbCellera Biologics Inc.(ABCL),XNAS,Biotechnology,United States
Abcourt Mines Inc.(ABMBF),OOTC,General Mining,United States
Aben Minerals Ltd.(ABNAF),OOTC,Gold,United States
Abengoa S.A. B(AGOAF),OOTC,Construction,United States
Abengoa S.A. Wt(AGOWF),OOTC,,United States
Abeona Therapeutics Inc.(ABEO),XNAS,Biotechnology,United States
Abercrombie & Fitch Co.(ANF),XNYS,Clothing Retail,United States
Aberdeen International Inc.(AABVF),OOTC,Banking,United States
ABG Sundal Collier Holding ASA(ABGSF),OOTC,Investment Advisors,United States
Abivax S.A.(AAVXF),OOTC,Pharmaceuticals,United States
ABM Industries Inc.(ABM),XNYS,Diversified Business Services,United States
